Post Title,Post Date,Week #,Day,Content Category,Primary Topic,Market Focus,Example Prompt / Angle,Primary Platform,Secondary Platform,Target Audience,Owner,Status,Asset Type,Asset Link,Post URL,Notes / Purpose,UTM Campaign,UTM Content,Language,Repurpose From,Repurpose To
SAF Watch - 112026,1/5/2026,1,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-01-05,,EN,,
Chart of the Day - 112026,1/6/2026,1,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-01-06,,EN,,
Brazil Crop Update - 112026,1/7/2026,1,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-01-07,,EN,,
USDA Snapshot - 112026,1/8/2026,1,Thursday,USDA Snapshot,Export Sales / WASDE,US,USDA data reaction: what actually matters vs. headline numbers,X,LinkedIn,"US traders, ag economists",Tore Alden,Planned,Post,,,,rlc_2026-01-08,,EN,,
Market Structure Insight - 112026,1/9/2026,1,Friday,Market Structure Insight,Oilseed demand outlook,Global,"How SAF, renewable diesel, and meal demand reshape global oilseed balances",LinkedIn,,"Executives, strategists",Tore Alden,Planned,Post,,,,rlc_2026-01-09,,EN,,
Market Microstructure - 112026,1/10/2026,1,Saturday,Market Microstructure,Basis / spreads / flows,US + Global,What the basis/spread is really saying about physical tightness (with one clean chart),X,LinkedIn,"Traders, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-01-10,,EN,,
Weekend Recap - 112026,1/11/2026,1,Sunday,Weekend Recap,Top 3 themes this week,US + Brazil,Three charts + five bullets: what moved markets this week and what’s next,LinkedIn,WhatsApp,Broad audience,Tore Alden,Planned,Post,,,,rlc_2026-01-11,,EN,,
SAF Watch - 212026,1/12/2026,2,Monday,SAF Watch,SAF capacity & feedstock demand,US + Global,SAF capacity additions vs. UCO/tallow/soy oil availability – who wins the margin battle?,LinkedIn,X,"US ag professionals, policy-aware investors",Tore Alden,Planned,Post,,,,rlc_2026-01-12,,EN,,
Chart of the Day - 212026,1/13/2026,2,Tuesday,Chart of the Day,Soy oil vs ULSD spread,US Biofuels,Chart: Soy oil – ULSD economics and implications for renewable diesel run rates,X,LinkedIn,"Traders, analysts",Tore Alden,Planned,Post,,,,rlc_2026-01-13,,EN,,
Brazil Crop Update - 212026,1/14/2026,2,Wednesday,Brazil Crop Update,Mato Grosso soy conditions,Brazil,"Brazil soy crop progress, weather, and export implications for Gulf basis",LinkedIn,WhatsApp (PT),"Brazilian farmers, merchandisers",Tore Alden,Planned,Post,,,,rlc_2026-01-14,,EN,,
