"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","receiving","South Truck Grain Receiving","","","300","tons/hr","CE-1a"
"EU-102","drying","Bean Dryer (5 units)","8000","bu/hr","","",""
"EU-104A","drying","Drying Deck 1","150","tons/hr","","",""
"EU-104B","drying","Drying Deck 2","150","tons/hr","","",""
"EU-104C","drying","Drying Deck 3","150","tons/hr","","",""
"EU-104D","cooling","Cooling Deck 1","150","tons/hr","","",""
"EU-104E","cooling","Cooling Deck 2","150","tons/hr","","",""
"EU-2","receiving","Center Truck Grain Receiving","","","300","tons/hr","CE-1a"
"EU-200","storage","Bulk DE Storage Tank","15000","gallons","","",""
"EU-201","storage","Bulk Clay Storage Tank","8480","gallons","","",""
"EU-205","boiler","Natural Gas/Fuel Oil Boiler","97","MMBtu/hr","","",""
"EU-3","receiving","Rail & North Truck Grain Receiving","","","600","tons/hr",""
"EU-308","processing","Methyl Ester Process Line","450000","lbs/month","","","Final Condenser Vent (CE-308), Final Vent Scrubber"
"EU-5","storage","Soybean Storage Bins","","","","",""
"EU-61","storage","Tempering Storage Bin #42B","600","tons/hr","","",""
"EU-80","cracking/dehulling","Soybean Cracking","150","tons/hr","","","Baghouse (CE-10)"
"EU-82","processing","Hull Grinding","600","tons/hr","","",""
"EU-85","drying","Drying Deck (1, 2, 3)","450","tons/hr","","","Cyclone (CE-104A), Venturi (CE-105)"
"EU-86","cooling","Cooling Deck (1, 2)","","","","",""
"EU-90","receiving","Pellet Receiving (1, 2)","30","tons/hr","","","Baghouse (CE-63), Baghouse (CE-64)"
