table,industry,facility_id,operator,city,county,state,lat,lon,status,data_source,pre_check_verdict,user_verified,user_correction,notes
facility_master,beef_packing,ia.iowa_premium_tama,Iowa Premium Beef,Tama,Tama,IA,41.967,-92.578,active,public_knowledge,confirmed (spot-check ok),,,~1.1K head/day; premium Black Angus focus
facility_master,biodiesel,ia.cargill_iowa_falls_biodiesel,Cargill,Iowa Falls,Hardin,IA,42.521,-93.265,active,public_knowledge,confirmed (spot-check ok),,,Smaller â€” co-located with crush
facility_master,biodiesel,ia.chevron_reg_mason_city,Chevron Renewable Energy Group,Mason City,Cerro Gordo,IA,43.153,-93.2,active,public_knowledge,confirmed (spot-check ok),,,Former REG site
facility_master,biodiesel,ia.chevron_reg_newton,Chevron Renewable Energy Group,Newton,Jasper,IA,41.696,-93.048,active,public_knowledge,spot-check: coords look like city centroid (verify actual plant),,,Largest IA biodiesel plant; former REG flagship
facility_master,biodiesel,ia.chevron_reg_ralston,Chevron Renewable Energy Group,Ralston,Carroll,IA,42.046,-94.633,active,public_knowledge,confirmed (spot-check ok),,,Former REG site; HQ before acquisition
facility_master,biodiesel,ia.stockton_biodiesel_tama,Stockton Biodiesel,Tama,Tama,IA,41.967,-92.578,active,public_knowledge,questioned: self-flagged in notes,,,Smaller plant; verify status
facility_master,biodiesel,ia.western_iowa_wall_lake_biodiesel,Western Iowa Energy LLC,Wall Lake,Sac,IA,42.272,-95.092,active,public_knowledge,confirmed (spot-check ok),,,Combo plant â€” see ia.western_iowa_wall_lake for ethanol
facility_master,egg_layers,ia.farmers_hen_house_kalona,Farmers Hen House,Kalona,Washington,IA,41.484,-91.708,active,public_knowledge,confirmed (spot-check ok),,,Organic-focused
facility_master,egg_layers,ia.daybreak_lake_mills,Daybreak Foods,Lake Mills,Winnebago,IA,43.421,-93.531,active,public_knowledge,confirmed (spot-check ok),,,
facility_master,egg_layers,ia.sparboe_new_hampton,Sparboe Farms,New Hampton,Chickasaw,IA,43.059,-92.318,active,public_knowledge,confirmed (spot-check ok),,,
facility_master,egg_layers,ia.versova_corporate,Versova Holdings,Sioux Center,Sioux,IA,43.078,-96.175,active,public_knowledge,confirmed (spot-check ok),,,Largest IA egg producer; multiple sites â€” needs DNR scrape for per-site detail. Includes Rembrandt Foods.
facility_master,egg_layers,ia.center_fresh_sioux_center,Center Fresh Group,Sioux Center,Sioux,IA,43.078,-96.175,active,public_knowledge,confirmed (spot-check ok),,,Major NW IA layer
facility_master,egg_layers,ia.rose_acre_stuart,Rose Acre Farms,Stuart,Adair,IA,41.502,-94.319,active,public_knowledge,spot-check: coords look like city centroid (verify actual plant),,,
facility_master,egg_layers,ia.rose_acre_winterset,Rose Acre Farms,Winterset,Madison,IA,41.339,-94.013,active,public_knowledge,confirmed (spot-check ok),,,
facility_master,ethanol,ia.valero_albert_city,Valero Renewable Fuels,Albert City,Buena Vista,IA,42.778,-94.949,active,public_knowledge,confirmed (spot-check ok),,,Acquired from Hawkeye
facility_master,ethanol,ia.poet_ashton,POET Biorefining,Ashton,Osceola,IA,43.305,-95.793,active,public_knowledge,spot-check: coords look like city centroid (verify actual plant),,,POET fleet
facility_master,ethanol,ia.adm_cedar_rapids_ethanol,ADM,Cedar Rapids,Linn,IA,41.974,-91.665,active,public_knowledge,confirmed (spot-check ok),,,Co-located with corn wet mill + crush; large complex
facility_master,ethanol,ia.valero_charles_city,Valero Renewable Fuels,Charles City,Floyd,IA,43.066,-92.674,active,public_knowledge,confirmed (spot-check ok),,,Acquired from Hawkeye
facility_master,ethanol,ia.adm_clinton,ADM,Clinton,Clinton,IA,41.844,-90.188,active,public_knowledge,confirmed (spot-check ok),,,Wet mill complex on Mississippi River
facility_master,ethanol,ia.poet_coon_rapids,POET Biorefining,Coon Rapids,Carroll,IA,41.87,-94.679,active,public_knowledge,confirmed (spot-check ok),,,POET fleet
facility_master,ethanol,ia.cargill_eddyville_ethanol,Cargill,Eddyville,Wapello,IA,41.14,-92.648,active,public_knowledge,confirmed (spot-check ok),,,Co-located with crush + biorefining at the Eddyville biocomplex
facility_master,ethanol,ia.poet_emmetsburg,POET Biorefining,Emmetsburg,Palo Alto,IA,43.111,-94.683,active,public_knowledge,confirmed (spot-check ok),,,Was cellulosic Project Liberty; now corn ethanol
facility_master,ethanol,ia.valero_fort_dodge,Valero Renewable Fuels,Fort Dodge,Webster,IA,42.504,-94.191,active,public_knowledge,spot-check: coords look like city centroid (verify actual plant),,,Acquired from Hawkeye
